transaction_amount,transaction_frequency,account_age,location_change,hour_of_day,distance_from_home_km,num_declines_last_hour,merchant_risk_score,is_online,fraud
129.83,5,1374.6,0,23,9.62,0,0.405,0,0
279.13,3,175.1,1,8,78.71,1,0.762,1,1
100.05,2,271.8,0,8,9.83,0,0.113,1,0
78.62,7,548.6,0,8,51.2,0,0.224,0,0
89.97,4,568.7,0,5,23.47,0,0.106,0,0
107.09,5,1054.8,0,4,0.95,0,0.122,1,0
88.45,6,1136.5,1,23,78.2,0,0.337,0,0
81.19,4,461.6,0,16,60.14,0,0.211,0,0
65.69,1,597.0,0,1,92.92,0,0.483,0,0
39.24,2,50.5,0,1,6.59,0,0.253,1,0
171.86,5,438.0,1,16,12.3,0,0.0,1,0
207.01,7,362.2,0,18,39.73,0,0.471,1,0
110.14,7,1026.3,0,5,6.6,0,0.346,1,0
142.93,7,108.3,0,11,28.39,0,0.13,0,0
134.66,1,65.9,1,8,5.48,0,0.073,0,0
177.38,4,134.1,0,18,2.34,1,0.0,0,0
117.45,3,2569.5,0,5,69.24,0,0.218,1,0
203.03,3,1793.7,0,6,28.81,0,0.542,1,0
219.98,7,573.5,0,19,41.96,0,0.074,0,0
93.11,5,561.2,1,13,11.63,0,0.42,0,0
64.5,1,158.9,0,7,62.97,0,0.0,1,0
37.46,5,36.3,0,19,48.61,0,0.379,0,0
39.55,4,387.1,1,11,13.77,0,0.0,1,0
59.26,5,516.5,0,22,71.71,1,0.198,1,0
83.63,4,764.2,0,20,11.34,0,0.008,0,0
252.37,1,575.2,0,22,44.18,3,0.386,1,1
159.27,2,1605.3,0,9,16.95,0,0.127,1,0
71.77,2,164.4,0,10,8.45,2,0.498,0,0
30.85,5,584.3,1,7,50.52,1,0.218,1,0
85.92,2,1192.2,1,10,53.21,0,0.01,1,0
42.19,2,593.0,0,2,3.88,1,0.726,1,0
171.82,5,182.0,1,0,19.92,0,0.398,0,0
13.73,4,305.4,0,1,5.03,0,0.298,1,0
99.19,7,935.2,1,0,88.04,0,0.198,0,0
137.16,3,1044.4,0,12,62.46,0,0.052,0,0
25.85,2,2342.4,0,15,44.49,0,0.087,0,0
96.33,5,122.3,0,16,10.09,2,0.14,0,0
95.31,4,2497.2,0,0,18.46,1,0.11,0,0
96.73,4,940.1,0,0,23.4,0,0.061,0,0
342.84,2,25.3,0,1,168.0,1,0.688,0,1
138.69,3,945.9,1,1,1.96,1,0.206,1,0
114.32,4,972.8,0,22,64.89,0,0.565,0,0
102.25,6,464.1,0,12,38.54,0,0.521,0,0
31.91,6,1346.3,0,12,103.35,0,0.117,0,0
61.25,5,178.9,0,5,11.1,0,0.611,1,0
74.04,7,904.0,0,14,9.22,0,0.329,1,0
86.77,4,198.0,0,20,24.84,0,0.826,0,0
114.29,8,351.9,1,2,22.05,0,0.064,0,0
91.89,5,507.4,1,4,56.39,0,0.233,0,0
90.59,6,756.6,0,3,22.14,0,0.0,0,0
120.45,3,460.1,0,14,28.76,0,0.367,1,0
99.25,1,1256.3,0,16,16.18,1,0.355,1,0
125.33,1,147.1,0,18,2.09,1,0.204,1,0
137.43,4,327.2,0,7,65.91,0,0.395,0,0
231.69,3,41.9,0,18,23.72,1,0.61,0,1
118.67,4,536.9,0,11,67.49,0,0.114,1,0
69.51,3,390.0,0,6,3.41,0,0.361,1,0
79.82,4,81.8,0,2,56.16,0,0.0,0,0
73.72,6,546.6,0,22,29.08,0,0.385,0,0
33.62,4,1006.9,0,18,21.11,0,0.368,0,0
82.6,5,976.5,0,18,24.03,0,0.059,1,0
65.29,8,943.3,0,19,2.03,0,0.212,1,0
88.87,4,298.4,0,3,40.39,0,0.0,0,0
59.81,4,607.5,0,15,13.99,0,0.13,1,0
66.13,1,43.6,0,21,19.69,0,0.188,0,0
39.31,7,135.1,0,21,9.72,0,0.266,1,0
47.68,5,1038.3,0,21,5.74,0,0.466,0,0
50.12,3,1708.1,0,17,,1,0.0,0,0
159.99,1,72.4,0,0,26.11,0,0.418,0,0
541.7,3,7.4,0,22,176.21,0,0.183,1,1
51.46,1,973.4,0,15,62.21,0,0.278,1,0
82.89,4,626.4,0,21,,0,0.611,1,0
13.6,4,600.0,0,3,98.59,0,0.117,0,0
11.53,5,1062.1,0,8,47.86,0,0.311,0,0
110.4,4,161.0,0,4,1.18,0,0.383,1,0
115.72,3,400.5,1,16,30.7,0,0.0,0,0
34.97,5,381.7,0,1,6.4,1,0.242,1,0
17.94,5,3345.6,0,3,24.59,0,0.0,1,0
65.85,5,2313.7,0,0,22.3,0,0.0,0,0
143.93,2,1285.4,0,1,50.08,0,0.007,0,0
175.68,4,1342.2,0,21,27.27,0,0.0,0,0
39.12,2,154.8,0,3,49.76,1,0.55,0,0
61.63,2,409.7,0,18,13.47,0,0.006,1,0
50.41,3,414.5,0,22,40.25,0,0.0,0,0
116.84,4,290.9,0,10,30.61,0,0.509,0,0
10.83,4,69.0,0,18,0.65,1,0.23,0,0
179.47,5,122.0,0,18,38.47,0,0.066,0,0
1.62,3,1734.5,0,12,52.24,0,0.09,0,0
116.63,3,605.9,0,19,9.1,2,0.542,0,0
23.28,6,577.1,0,6,10.89,0,0.332,1,0
11.07,5,300.4,0,18,74.13,0,0.231,0,0
65.36,4,425.2,0,17,1.04,0,0.484,1,0
88.65,2,1527.7,1,12,6.3,0,0.625,1,0
133.9,5,538.1,0,13,0.26,0,0.0,1,0
57.65,4,755.1,0,14,12.9,0,0.216,1,0
63.62,4,2370.2,0,7,19.02,1,0.0,1,0
4.49,4,456.2,0,13,8.24,0,0.408,1,0
202.29,4,493.4,0,4,48.11,0,0.089,0,0
3.69,4,426.4,0,22,2.41,1,0.198,0,0
42.19,7,207.2,0,2,10.99,0,0.582,0,0
60.22,2,237.1,0,17,1.21,0,0.409,0,0
58.83,3,1758.9,0,2,10.23,0,0.491,0,0
126.47,6,1255.6,0,23,1.12,1,0.378,0,0
34.79,2,57.6,0,1,24.9,0,0.147,0,0
171.77,7,119.7,0,0,51.97,0,0.317,1,0
42.88,2,166.8,0,9,31.58,0,0.329,0,0
86.18,3,1308.2,1,7,65.71,0,0.064,0,0
127.41,5,505.0,0,7,53.52,0,0.476,1,0
63.48,1,548.1,0,6,10.62,0,0.185,1,0
175.95,3,76.3,0,7,11.59,0,0.179,1,1
39.41,2,1517.4,0,9,27.54,0,0.475,0,0
54.04,3,195.5,1,7,8.82,0,0.466,1,0
19.79,6,117.2,0,19,0.75,0,0.456,0,0
13.84,5,32.7,0,3,16.69,0,0.293,0,0
1.56,4,117.7,0,0,36.74,0,0.313,1,0
189.12,2,125.1,0,20,62.33,1,0.0,0,0
70.05,5,657.0,0,0,0.14,0,0.173,0,0
8.91,6,191.5,0,15,36.66,0,0.353,0,0
206.53,0,124.4,1,22,162.75,1,0.767,1,1
4.9,3,55.7,0,18,30.93,0,0.105,1,0
45.95,4,516.7,0,14,23.04,0,0.376,0,0
120.1,4,374.0,1,8,24.54,0,0.712,1,0
88.18,5,2140.7,0,7,47.52,1,0.421,1,0
19.97,3,4.5,0,18,50.95,0,0.264,0,0
95.17,3,907.6,0,0,72.57,0,0.764,0,0
27.9,4,882.6,0,1,7.8,0,0.534,1,0
46.95,3,4053.7,0,5,11.85,0,0.248,1,0
135.84,4,700.5,0,7,40.23,0,0.0,1,0
94.3,2,510.9,0,19,6.39,0,0.296,0,0
246.98,1,118.7,0,23,9.84,1,0.088,0,0
147.67,4,860.8,0,4,2.6,1,0.204,1,0
68.73,1,60.8,1,16,53.17,0,0.414,0,0
217.67,2,742.5,1,13,176.41,0,0.393,0,1
141.89,0,287.8,0,0,191.52,0,0.036,1,1
80.96,2,412.5,0,5,27.91,0,0.4,0,0
17.07,2,269.9,0,18,84.19,1,0.322,1,0
113.74,5,175.9,0,0,32.02,0,0.279,0,0
30.13,1,714.7,1,1,,0,0.317,1,0
399.21,2,441.9,0,6,66.79,1,0.448,1,1
9.44,2,493.3,0,20,13.24,0,0.534,0,0
38.22,2,186.8,1,3,216.88,1,0.792,1,1
119.53,5,315.8,1,8,41.65,0,0.23,0,0
20.41,1,1560.6,0,22,5.54,0,0.235,1,0
104.61,4,36.5,0,2,23.22,1,0.689,0,0
85.93,2,154.7,0,8,19.23,0,0.128,0,0
145.81,3,326.0,0,16,8.87,0,0.418,0,0
49.63,1,154.3,1,20,33.09,0,0.544,1,0
3.89,4,49.4,0,6,14.25,2,0.619,1,0
8.22,1,366.5,0,14,8.06,1,0.559,1,0
137.35,4,43.5,0,6,41.58,0,0.136,0,0
2.5,3,270.3,0,11,56.72,0,0.479,1,0
91.19,7,2896.7,0,13,34.81,0,0.248,1,0
17.06,4,353.7,0,12,30.41,0,0.358,0,0
69.47,4,304.5,0,12,59.51,1,0.408,1,0
172.71,2,680.2,0,4,22.95,0,0.434,1,0
86.1,5,336.7,0,4,27.35,0,0.373,0,0
58.99,3,541.5,0,19,23.63,0,0.0,1,0
42.12,2,2069.0,0,4,3.3,0,0.572,0,0
51.81,7,611.2,0,15,58.31,1,0.373,1,0
21.59,2,1005.6,0,14,45.97,0,0.095,1,0
140.98,4,1186.0,0,10,25.56,0,0.492,1,0
23.18,9,763.6,0,14,55.47,0,0.0,0,0
45.98,4,51.0,0,7,59.28,0,0.15,1,0
46.07,3,246.0,0,21,8.34,0,0.388,1,0
57.62,2,562.9,0,5,17.97,0,0.471,1,0
85.9,3,1891.3,0,11,54.28,2,0.113,0,0
50.32,5,447.1,0,6,17.82,0,0.608,1,0
73.84,4,5.2,0,2,54.9,2,0.0,0,0
97.97,4,128.7,0,20,22.76,0,0.542,1,0
6.69,3,157.4,0,22,21.46,0,0.619,1,0
120.08,3,356.2,1,2,46.95,0,0.21,1,0
83.02,3,847.0,0,3,28.99,0,0.0,0,0
146.95,3,1202.9,0,1,11.66,0,0.254,1,0
46.64,3,1417.8,0,3,35.77,0,0.31,0,0
123.33,1,408.6,0,20,43.2,0,0.328,1,0
27.71,2,1756.3,0,23,5.14,0,0.187,1,0
104.99,2,578.1,0,6,6.11,2,0.545,1,0
72.34,3,539.4,0,16,1.04,0,0.094,0,0
223.38,4,350.2,0,18,67.41,0,0.606,1,0
184.97,5,930.7,0,6,44.71,0,0.0,0,0
60.27,4,744.8,1,7,29.05,0,0.115,0,0
2.29,5,183.5,0,5,,1,0.16,0,0
66.37,6,396.5,0,0,14.94,0,0.012,0,0
76.62,7,1390.7,1,16,30.27,0,0.0,1,0
27.32,3,714.1,1,17,38.12,0,0.339,0,0
45.1,7,231.8,0,6,50.34,0,0.0,0,0
18.6,3,612.1,0,23,55.61,0,0.702,1,0
52.95,5,227.3,0,9,95.6,0,0.532,0,0
70.45,5,2754.2,1,15,19.59,2,0.0,0,0
31.18,3,165.7,1,12,13.81,0,0.115,0,0
102.55,1,369.6,0,14,3.57,1,0.0,0,0
19.59,2,662.8,0,0,40.01,0,0.0,0,0
32.02,3,61.6,0,20,46.79,0,0.346,0,0
54.11,4,808.0,0,17,0.48,1,0.109,0,0
15.81,1,17.2,1,21,9.7,0,0.415,0,0
154.79,1,706.2,0,19,78.9,0,0.387,0,0
224.18,3,22.0,0,16,48.09,0,0.242,1,1
99.72,1,1246.6,0,19,45.08,0,0.384,1,0
112.21,6,2486.9,0,21,7.93,0,0.0,0,0
102.55,7,321.7,0,19,24.91,1,0.388,0,0
157.09,5,1319.7,0,19,27.11,0,0.093,0,0
434.18,2,1218.1,0,1,59.91,3,0.613,1,1
130.39,7,37.9,0,14,28.68,1,0.065,0,0
111.18,2,371.2,0,21,54.03,0,0.348,1,0
155.12,3,103.9,1,8,85.88,0,0.21,0,0
133.25,4,1273.8,0,4,102.54,0,0.592,1,0
264.3,2,182.6,0,8,218.41,0,0.511,1,1
33.45,5,630.8,1,6,12.05,1,0.363,1,0
72.27,2,416.6,0,5,2.53,1,0.351,0,0
69.56,3,1565.7,0,6,4.89,1,0.594,1,0
195.22,2,71.6,0,16,77.39,2,0.558,1,1
59.03,4,1400.7,0,5,40.11,0,0.518,0,0
121.62,4,2723.1,1,8,84.39,0,0.436,1,0
139.87,2,532.7,0,22,5.37,0,0.513,0,0
69.73,7,1393.9,0,1,33.37,0,0.15,1,0
74.25,3,973.5,0,16,13.2,0,0.217,0,0
27.53,4,999.6,0,6,106.78,0,0.505,0,0
157.11,3,110.0,0,17,54.07,0,0.124,1,0
53.83,3,560.2,0,18,58.08,0,0.66,0,0
52.93,4,681.0,0,16,37.39,0,0.661,1,0
260.53,3,282.5,0,21,192.81,0,0.404,1,1
2.74,5,273.8,0,12,46.34,0,0.483,1,0
35.07,4,15.4,0,13,4.02,0,0.174,0,0
143.97,3,2265.2,0,6,46.42,0,0.577,0,0
134.36,4,17.9,0,22,46.28,0,0.167,0,0
21.1,3,2649.4,0,13,50.53,0,0.0,0,0
67.4,3,585.9,0,16,2.48,0,0.273,0,0
339.61,0,151.9,0,8,333.86,0,0.724,1,1
21.44,5,758.7,0,11,13.4,1,0.291,0,0
69.62,4,763.9,0,11,20.92,0,0.38,1,0
149.53,4,671.0,0,10,25.72,0,0.303,0,0
20.71,2,207.5,0,21,51.04,0,0.68,0,0
162.59,6,152.8,0,7,12.29,0,0.0,1,0
18.59,1,1167.6,0,6,28.75,0,0.086,1,0
5.25,4,262.4,0,15,17.02,0,0.783,0,0
697.94,1,36.8,0,3,81.9,1,0.646,0,1
141.22,4,1970.3,0,13,24.62,0,0.46,0,0
137.06,3,1212.5,0,14,28.96,0,0.0,0,0
36.74,5,1002.9,0,8,4.77,0,0.456,0,0
163.62,2,1798.6,0,5,18.53,0,0.0,0,0
2.04,4,294.6,0,21,1.52,0,0.66,1,0
29.95,3,308.0,0,20,93.69,0,0.521,0,0
71.76,3,400.6,0,2,17.39,0,0.083,0,0
37.0,6,428.5,0,16,69.01,0,0.164,0,0
5.62,3,264.0,0,5,50.7,0,0.284,0,0
97.56,4,871.9,1,15,33.92,0,0.233,0,0
30.29,6,591.3,1,17,63.86,1,0.172,0,0
152.83,2,851.7,0,1,17.73,0,0.557,0,0
127.04,1,416.1,0,13,25.27,0,0.146,0,0
74.13,3,425.1,0,21,1.92,1,0.006,0,0
6.3,3,963.4,1,18,27.73,0,0.038,1,0
49.12,1,834.5,0,14,47.4,0,0.395,1,0
59.5,4,783.8,0,22,2.19,0,0.248,0,0
5.14,3,1472.5,0,10,4.93,0,0.488,0,0
66.12,2,192.4,0,11,37.17,0,0.0,0,0
226.82,9,421.8,0,15,47.25,0,0.463,0,0
212.54,3,607.2,1,11,316.99,2,0.293,0,1
72.6,4,2498.9,0,17,42.96,0,0.012,1,0
57.48,5,392.0,0,20,70.04,0,0.701,0,0
48.87,5,187.6,0,5,99.28,0,0.2,0,0
75.39,7,977.6,0,21,0.58,0,0.604,0,0
35.61,4,270.0,1,17,22.28,0,0.053,0,0
231.43,3,59.3,1,23,331.16,0,0.403,0,1
83.82,4,310.3,0,14,,0,0.25,1,0
47.37,5,630.4,0,23,7.45,0,0.542,0,0
97.86,1,489.8,0,5,87.55,0,0.66,1,1
2.26,3,1653.2,1,21,20.18,0,0.198,1,0
65.52,2,245.9,0,4,3.94,1,0.42,0,0
80.59,4,224.4,0,15,1.52,0,0.54,0,0
200.44,3,90.3,0,5,53.09,0,0.0,0,0
99.59,2,1251.0,1,19,29.41,0,0.243,0,0
12.89,3,649.3,0,3,54.67,1,0.359,0,0
127.22,5,266.6,0,20,40.45,0,0.368,1,0
8.34,2,501.6,0,3,46.33,1,0.116,0,0
99.32,0,206.3,0,8,115.5,1,0.507,0,1
301.26,5,326.3,0,21,257.04,0,0.71,1,1
72.92,7,498.3,0,11,48.97,0,0.22,0,0
40.33,4,887.5,0,0,7.22,1,0.0,0,0
0.03,6,175.4,0,7,7.17,1,0.074,1,0
100.18,5,951.8,0,14,51.24,0,0.316,1,0
8.89,4,260.7,0,7,18.46,0,0.235,1,0
58.46,6,25.0,0,16,3.72,0,0.0,0,0
28.78,3,217.4,0,3,61.28,0,0.482,1,0
107.4,2,138.4,0,16,69.04,0,0.25,1,0
18.43,4,287.6,0,13,48.03,0,0.085,1,0
58.79,7,1316.4,1,12,22.94,1,0.04,0,0
50.9,4,85.9,0,14,,1,0.23,0,0
63.72,4,238.0,0,11,32.54,0,0.354,0,0
77.02,5,2101.0,0,4,35.11,0,0.087,0,0
118.06,8,520.8,1,23,45.89,0,0.008,0,0
22.23,3,155.5,0,18,26.63,0,0.634,0,0
57.23,3,1260.3,0,3,34.06,1,0.526,0,0
190.53,6,118.1,0,12,74.85,0,0.152,1,0
33.26,0,452.5,0,1,123.47,0,0.201,1,1
192.13,6,587.1,0,20,19.64,0,0.265,1,0
8.21,2,501.4,0,19,32.16,1,0.049,0,0
44.58,5,1253.1,0,23,34.76,1,0.0,0,0
119.96,5,389.5,0,7,4.41,1,0.454,1,0
93.53,5,65.2,1,11,12.72,0,0.125,0,0
99.17,3,95.3,0,0,29.6,1,0.181,0,0
177.09,1,186.6,1,1,60.38,0,0.531,1,1
125.65,3,877.0,0,16,92.86,0,0.097,0,0
22.03,2,1455.0,1,1,63.14,0,0.682,0,0
90.66,2,952.4,0,17,47.21,0,0.547,1,0
18.53,3,807.2,0,12,39.82,0,0.542,1,0
216.65,2,1630.9,1,14,46.77,1,0.037,0,0
32.05,2,3257.0,0,13,58.67,1,0.215,0,0
75.54,2,1122.1,0,18,35.13,0,0.391,0,0
54.92,1,284.7,0,4,15.95,0,0.395,0,0
39.34,5,588.3,0,4,48.53,0,0.514,0,0
126.46,2,1764.2,0,19,48.54,0,0.0,0,0
55.57,1,529.4,0,2,74.23,0,0.152,0,0
278.52,2,393.9,0,21,52.29,3,0.532,1,1
94.48,3,748.4,0,12,1.34,1,0.302,1,0
8.6,6,921.8,0,7,17.77,0,0.596,0,0
59.97,7,936.9,1,5,56.41,1,0.444,0,0
273.3,0,300.8,0,15,132.88,0,1.0,1,1
33.93,0,626.7,0,17,6.36,1,0.668,0,0
126.03,3,415.3,0,2,7.36,0,0.401,0,0
27.72,1,256.4,0,21,36.44,0,0.0,0,0
4.89,4,1884.1,0,9,18.25,1,0.0,0,0
43.08,3,373.5,0,4,24.44,2,0.318,0,0
54.07,3,506.8,0,3,32.25,0,0.162,0,0
3.14,3,1569.3,0,11,31.04,0,0.419,0,0
375.95,1,631.3,0,5,179.78,2,0.541,1,1
390.47,3,71.7,0,18,87.77,2,0.545,0,1
121.42,5,692.5,0,5,16.66,0,0.03,0,0
118.55,6,687.9,0,22,13.88,0,0.357,0,0
52.76,3,41.0,0,7,20.9,0,0.208,0,0
67.74,1,323.9,0,6,26.87,0,0.37,1,0
19.0,2,846.4,1,12,37.57,0,0.148,0,0
16.65,2,125.2,1,6,66.44,0,0.273,0,0
29.46,5,1263.6,0,6,37.95,0,0.073,0,0
69.78,3,133.5,0,15,44.53,0,0.078,1,0
80.23,2,25.4,0,6,53.7,0,0.153,1,0
54.96,1,79.1,0,7,20.74,0,0.747,1,0
140.27,1,129.8,1,20,268.2,3,0.721,1,1
55.76,1,383.5,0,0,3.46,0,0.535,1,0
93.89,1,418.8,0,13,18.97,1,0.311,1,0
109.01,4,243.6,0,7,53.01,0,0.336,1,0
48.24,4,599.6,0,14,13.87,0,0.095,1,0
48.48,6,332.3,0,10,46.28,1,0.534,0,0
414.46,3,76.0,0,12,275.35,1,0.513,0,1
101.1,3,201.8,1,10,44.95,0,0.493,0,0
79.41,3,107.4,0,19,45.19,0,0.313,0,0
115.36,4,285.2,0,18,4.9,0,0.171,1,0
171.06,4,17.8,0,17,55.45,0,0.198,0,0
158.22,5,1299.3,1,9,39.23,0,0.0,0,0
66.42,3,296.2,0,3,0.32,0,0.374,1,0
0.09,0,1423.5,0,10,67.4,0,0.586,0,0
111.55,1,394.9,0,21,242.34,1,0.467,1,1
128.72,4,731.4,0,1,49.58,0,0.231,1,0
98.63,2,223.7,0,2,22.36,0,0.188,0,0
136.64,1,87.7,1,0,13.51,2,0.742,0,1
68.74,2,749.2,0,0,8.87,0,0.311,0,0
53.5,4,607.8,0,13,23.22,0,0.428,0,0
44.75,6,3.1,0,22,37.79,0,0.203,1,0
118.19,5,55.0,0,17,74.24,1,0.509,0,0
8.78,4,1036.5,0,19,8.63,0,0.338,0,0
188.43,2,221.5,0,23,53.65,0,0.205,0,0
68.89,1,308.7,0,1,40.6,0,0.485,0,0
91.2,4,225.8,1,6,19.25,0,0.234,0,0
87.84,3,588.9,0,20,46.38,0,0.332,1,0
35.47,2,917.8,0,14,55.45,0,0.0,0,0
47.87,2,70.1,0,4,4.67,0,0.575,0,0
15.96,5,688.5,0,13,48.94,0,0.086,0,0
123.82,3,318.9,0,8,53.98,0,0.286,1,0
4.04,3,245.0,0,10,,0,0.0,0,0
22.6,1,2164.9,0,7,61.25,0,0.056,0,0
24.66,5,750.7,0,22,2.16,3,0.416,1,0
192.91,1,853.9,0,16,39.16,1,0.347,1,0
64.33,5,614.2,0,18,54.71,1,0.649,0,0
70.72,0,370.3,0,23,62.12,0,0.321,1,0
18.05,4,1728.9,0,3,2.56,0,0.269,1,0
27.88,5,952.5,0,21,32.09,1,0.202,0,0
196.82,5,164.2,0,11,0.81,0,0.045,0,0
77.96,7,2588.0,0,0,26.84,0,0.359,0,0
26.91,5,221.7,0,5,24.45,1,0.382,0,0
39.65,1,961.3,0,2,51.19,1,0.276,0,0
171.95,4,474.0,0,10,20.09,0,0.201,0,0
112.55,6,130.0,0,20,55.22,0,0.166,0,0
26.67,3,1304.2,1,20,14.41,0,0.14,0,0
65.17,4,107.0,0,4,66.45,0,0.538,0,0
43.66,4,449.4,0,0,38.21,0,0.079,1,0
35.27,2,105.7,0,15,222.31,0,0.694,0,1
15.28,2,264.0,0,22,32.31,0,0.67,0,0
109.08,1,352.3,0,0,3.8,0,0.203,0,0
135.39,2,3556.1,0,8,31.83,0,0.0,1,0
36.64,4,16.9,0,16,15.49,0,0.587,1,0
16.7,9,373.7,0,3,24.95,1,0.275,1,0
178.08,6,150.7,0,3,105.95,1,0.246,0,0
5.55,5,1505.4,1,18,79.18,0,0.207,0,0
91.3,1,233.2,0,15,18.01,0,0.27,1,0
33.4,4,158.0,0,12,34.69,0,0.465,1,0
88.17,2,192.2,0,11,15.67,0,0.229,0,0
53.05,2,57.2,0,5,45.44,0,0.0,1,0
108.01,3,5.2,0,13,12.45,0,0.0,0,0
184.44,1,361.1,0,1,44.4,0,0.658,1,0
24.36,3,1096.6,0,23,15.44,0,0.521,1,0
107.0,4,1030.0,0,10,73.14,0,0.143,0,0
68.4,2,347.9,0,1,8.47,0,0.085,0,0
120.47,4,57.4,0,1,81.25,0,0.338,0,0
41.3,2,134.0,0,13,31.44,0,0.302,0,0
76.15,7,342.6,1,11,34.07,0,0.508,0,0
57.41,7,690.2,0,0,74.65,0,0.572,1,0
53.34,2,109.1,1,10,12.08,0,0.31,1,0
200.69,2,2373.1,0,5,12.26,0,0.474,1,0
7.99,3,38.8,0,5,71.98,0,0.31,0,0
57.79,3,272.8,1,14,19.18,0,0.288,0,0
89.18,0,886.0,0,20,55.77,0,0.161,1,0
146.49,4,257.1,0,1,29.29,0,0.0,0,0
136.68,3,2411.7,0,13,,0,0.337,1,0
57.0,4,915.8,0,0,24.72,1,0.162,0,0
38.23,6,1123.4,0,4,89.16,0,0.108,0,0
31.43,8,476.6,0,11,60.15,1,0.0,0,0
97.66,5,585.2,0,12,79.11,0,0.0,0,0
69.77,3,180.7,0,16,18.49,2,0.241,0,0
57.97,4,2266.0,0,14,4.27,0,0.471,0,0
27.6,2,133.1,0,7,2.5,0,0.263,0,0
76.14,6,1607.3,0,17,11.33,0,0.441,0,0
54.23,3,1117.0,1,21,54.55,0,0.0,0,0
77.94,2,275.9,1,17,3.42,2,0.77,1,1
64.02,4,354.3,0,18,25.85,0,0.0,1,0
60.2,4,371.8,0,4,52.41,0,0.46,1,0
104.64,1,107.4,0,1,69.21,0,0.127,1,0
212.94,3,814.8,0,11,61.33,1,0.888,1,1
11.68,3,280.2,0,2,32.44,0,0.304,1,0
59.21,3,2455.0,0,5,28.95,0,0.718,1,0
144.73,3,434.6,0,1,47.53,0,0.558,0,0
170.3,0,422.5,0,17,21.8,1,0.327,1,0
82.34,6,59.6,0,22,29.35,0,0.208,1,0
7.69,2,342.8,0,4,45.07,0,0.322,0,0
26.25,2,573.5,0,22,1.38,1,0.697,0,0
98.49,4,451.8,0,14,15.24,0,0.243,0,0
66.04,2,848.3,0,22,30.97,0,0.0,1,0
40.79,0,878.0,0,20,36.16,1,0.132,0,0
9.37,5,21.0,0,13,24.47,0,0.476,1,0
42.8,5,879.7,0,21,33.34,0,0.169,1,0
180.63,2,335.2,0,2,3.84,0,0.433,1,0
12.32,3,126.1,0,21,29.14,0,0.263,1,0
3.14,6,139.2,0,0,31.71,0,0.0,0,0
85.73,3,297.0,0,12,62.7,0,0.119,0,0
91.11,4,585.8,1,14,63.19,0,0.0,0,0
18.1,8,114.5,0,11,36.06,0,0.118,0,0
83.93,2,456.3,0,14,64.35,1,0.287,1,0
80.27,2,141.0,1,21,1.09,0,0.189,1,0
17.31,0,469.2,0,6,242.84,0,0.919,0,1
142.85,0,331.9,0,17,16.39,0,0.469,1,0
